am_day,biblical_citations_summary,citation_categories,citation_precision,date_ce,description,event_type,has_biblical_citations,location,name,scripture_related_events,source,source_file,total_biblical_citations
164537.43,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0451-06-28,Halley's Comet return - Attila the Hun era,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
191891.44,"direct_citations: Mt 27:51 - ""Ziemia się zatrzęsła, skały się rozpadły""; Mt 28:2 - ""Stało się wielkie trzęsienie ziemi""; 1Krl 19:11 - ""Po wichurze trzęsienie ziemi, ale Pan nie był w trzęsieniu ziemi"" | prophetic_significance: Ap 6:12 - ""Stało się wielkie trzęsienie ziemi""; Ap 11:13 - ""W tej godzinie stało się wielkie trzęsienie ziemi""; Ap 16:18 - ""Stało się wielkie trzęsienie ziemi, jakiego nie było od czasu istnienia ludzi"" | theological_context: Ps 18:8 - ""Zatrzęsła się i zadrżała ziemia, zachwiały się fundamenty gór""; Hi 9:6 - ""Wstrząsa ziemią z jej miejsca, tak że jej filary się chwiają""","direct_citations, prophetic_significance, theological_context",,0526-05-20,Byzantine earthquake,EARTHQUAKE,True,Antioch,Byzantine earthquake,"VOLCANO, MIYAKE",Seismic_Records,AMJD_HISTORICAL_EVENTS_MASTER.csv,11
193482.44,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0530-09-27,Halley's Comet return - Byzantine records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
221409.45,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0607-03-15,Halley's Comet return - Japanese records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
249705.46,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0684-09-02,Halley's Comet return - European chronicles,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
277358.46,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0760-05-20,Halley's Comet return - Charlemagne era,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
305401.47,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0837-02-28,Halley's Comet return - Louis the Pious,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
332934.48,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0912-07-18,Halley's Comet return - European records,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
361076.48,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,0989-08-05,Halley's Comet return - European chronicles,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
367187.48,"direct_citations: Iz 34:4 - ""Wszystkie zastępy niebieskie się rozpuszczą, niebiosa zwijają się jak zwój""; Ap 6:14 - ""Niebo zostało zwinięte jak zwój księgi""; Mt 24:29 - ""Gwiazdy będą spadać z nieba, a moce niebieskie zostaną wstrząśnięte"" | theological_context: Hi 38:7 - ""Gdy razem śpiewały gwiazdy poranne i wykrzykiwali radośnie wszyscy synowie Boży""; Ps 8:4 - ""Gdy patrzę na Twoje niebiosa, dzieło Twoich palców, na księżyc i gwiazdy""","direct_citations, theological_context",,1006-04-30,Brightest recorded supernova,SUPERNOVA,True,Lupus constellation,SN 1006,MIYAKE,Historical_Astronomy,AMJD_HISTORICAL_EVENTS_MASTER.csv,6
384784.48,"direct_citations: Iz 34:4 - ""Wszystkie zastępy niebieskie się rozpuszczą, niebiosa zwijają się jak zwój""; Ap 6:14 - ""Niebo zostało zwinięte jak zwój księgi""; Mt 24:29 - ""Gwiazdy będą spadać z nieba, a moce niebieskie zostaną wstrząśnięte"" | theological_context: Hi 38:7 - ""Gdy razem śpiewały gwiazdy poranne i wykrzykiwali radośnie wszyscy synowie Boży""; Ps 8:4 - ""Gdy patrzę na Twoje niebiosa, dzieło Twoich palców, na księżyc i gwiazdy""","direct_citations, theological_context",,1054-07-04,Crab Nebula progenitor,SUPERNOVA,True,Taurus constellation,SN 1054,MIYAKE,Historical_Astronomy,AMJD_HISTORICAL_EVENTS_MASTER.csv,6
389061.48,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,1066-03-20,Halley's Comet return - Norman Conquest omen,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
417928.49,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,1145-04-02,Halley's Comet return - Medieval chronicles,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
431203.49,"direct_citations: Iz 34:4 - ""Wszystkie zastępy niebieskie się rozpuszczą, niebiosa zwijają się jak zwój""; Ap 6:14 - ""Niebo zostało zwinięte jak zwój księgi""; Mt 24:29 - ""Gwiazdy będą spadać z nieba, a moce niebieskie zostaną wstrząśnięte"" | theological_context: Hi 38:7 - ""Gdy razem śpiewały gwiazdy poranne i wykrzykiwali radośnie wszyscy synowie Boży""; Ps 8:4 - ""Gdy patrzę na Twoje niebiosa, dzieło Twoich palców, na księżyc i gwiazdy""","direct_citations, theological_context",,1181-08-06,Chinese astronomers,SUPERNOVA,True,Cassiopeia constellation,SN 1181,MIYAKE,Historical_Astronomy,AMJD_HISTORICAL_EVENTS_MASTER.csv,6
446231.49,"direct_citations: Lb 24:17 - ""Gwiazda wzejdzie z Jakuba, berło powstanie z Izraela""; Mt 2:2 - ""Widzieliśmy bowiem Jego gwiazdę na Wschodzie i przyszliśmy oddać Mu pokłon""; Mt 2:9-10 - ""Gwiazda, którą widzieli na Wschodzie, szła przed nimi, aż przyszła i stanęła nad miejscem"" | historical_context: 2Krl 20:11 - ""Cofnął cień o dziesięć stopni na zegarze słonecznym Achaza""; Joz 10:13 - ""I stanęło słońce, a księżyc się zatrzymał""; Iz 38:8 - ""Cofnę cień o dziesięć stopni, o które zszedł na zegarze słonecznym"" | prophetic_significance: Ap 22:16 - ""Ja jestem potomkiem i rodem Dawida, jasną gwiazdą poranną""; 2P 1:19 - ""Mamy też pewniejsze słowo prorockie, aż się dień rozświdnie i gwiazda poranna wzejdzie""","direct_citations, historical_context, prophetic_significance",,1222-09-28,Halley's Comet return - Mongol invasions,COMET,True,Solar System,Halley's Comet,,Orbital_Mechanics,AMJD_HISTORICAL_EVENTS_MASTER.csv,10
